type,old_name,new_name,date,comment
transcript,2023_03_03_pinker.md,2023_03_03_S01E01_pinker.md,2023-03-03,S01E01 - Парадокс Пинкера
image,images/2023_03_03_pinker.jpg,images/2023_03_03_S01E01_pinker.jpg,2023-03-03,S01E01 - Парадокс Пинкера
transcript,2023_03_11_apocalypse.md,2023_03_11_S01E02_apocalypse.md,2023-03-11,S01E02 - Апокалипсис и Трансгуманизм
image,images/2023_03_11_apocalypse.jpg,images/2023_03_11_S01E02_apocalypse.jpg,2023-03-11,S01E02 - Апокалипсис и Трансгуманизм
transcript,2023_03_18_faust.md,2023_03_18_S01E03_faust.md,2023-03-18,S01E03 - Цивилизация Фауста
image,images/2023_03_18_faust.jpg,images/2023_03_18_S01E03_faust.jpg,2023-03-18,S01E03 - Цивилизация Фауста
transcript,2023_03_25_identity.md,2023_03_25_S01E04_identity.md,2023-03-25,S01E04 - Культ идентичности
image,images/2023_03_25_identity.jpg,images/2023_03_25_S01E04_identity.jpg,2023-03-25,S01E04 - Культ идентичности
transcript,2023_04_01_orange.md,2023_04_01_S01E05_orange.md,2023-04-01,S01E05 - Заводной апельсин
image,images/2023_04_01_orange.jpg,images/2023_04_01_S01E05_orange.jpg,2023-04-01,S01E05 - Заводной апельсин
transcript,2023_04_08_snowflakes.md,2023_04_08_S01E06_snowflakes.md,2023-04-08,S01E06 - Поколение Снежинок
image,images/2023_04_08_snowflakes.jpg,images/2023_04_08_S01E06_snowflakes.jpg,2023-04-08,S01E06 - Поколение Снежинок
transcript,2023_04_15_limits.md,2023_04_15_S01E07_limits.md,2023-04-15,S01E07 - Пределы человечности
image,images/2023_04_15_limits.jpg,images/2023_04_15_S01E07_limits.jpg,2023-04-15,S01E07 - Пределы человечности
transcript,2023_04_22_ai.md,2023_04_22_S01E08_ai.md,2023-04-22,S01E08 - AI. Идеальный собеседник
image,images/2023_04_22_ai.jpg,images/2023_04_22_S01E08_ai.jpg,2023-04-22,S01E08 - AI. Идеальный собеседник
transcript,2023_04_29_vr.md,2023_04_29_S01E09_vr.md,2023-04-29,S01E09 - AI. Великое Разделение
image,images/2023_04_29_vr.jpg,images/2023_04_29_S01E09_vr.jpg,2023-04-29,S01E09 - AI. Великое Разделение
transcript,2023_05_06_mt.md,2023_05_06_S01E10_mt.md,2023-05-06,S01E10 - Манифест традиционалистов
image,images/2023_05_06_mt.jpg,images/2023_05_06_S01E10_mt.jpg,2023-05-06,S01E10 - Манифест традиционалистов
transcript,2023_05_13_otvety.md,2023_05_13_S01E11_otvety.md,2023-05-13,S01E11 - Ответы на вопросы слушателей
image,images/2023_05_13_otvety.jpg,images/2023_05_13_S01E11_otvety.jpg,2023-05-13,S01E11 - Ответы на вопросы слушателей
transcript,2023_05_21_final.md,2023_05_21_S01E12_final.md,2023-05-21,S01E12 - Воинская повинность, национализм и выбор идентичности (финал)
image,images/2023_05_21_final.jpg,images/2023_05_21_S01E12_final.jpg,2023-05-21,S01E12 - Воинская повинность, национализм и выбор идентичности (финал)
transcript,2023_09_17_your-flash-memory-card-with-identity.md,2023_09_17_S02E01_your-flash-memory-card-with-identity.md,2023-09-17,S02E01 - Идентичность. Человек-флешка
image,images/2023_09_17_your-flash-memory-card-with-identity.jpg,images/2023_09_17_S02E01_your-flash-memory-card-with-identity.jpg,2023-09-17,S02E01 - Идентичность. Человек-флешка
transcript,2023_09_26_placeandtime.md,2023_09_26_S02E02_placeandtime.md,2023-09-26,S02E02 - Основы идентичности. Место и время
image,images/2023_09_26_placeandtime.jpg,images/2023_09_26_S02E02_placeandtime.jpg,2023-09-26,S02E02 - Основы идентичности. Место и время
transcript,2023_10_01_political-identity.md,2023_10_01_S02E03_political-identity.md,2023-10-01,S02E03 - Политическая идентичность. Свои и чужие
image,images/2023_10_01_political-identity.jpg,images/2023_10_01_S02E03_political-identity.jpg,2023-10-01,S02E03 - Политическая идентичность. Свои и чужие
transcript,2023_10_08_asabiya.md,2023_10_08_S02E04_asabiya.md,2023-10-08,S02E04 - Политическая борьба. Асабия
image,images/2023_10_08_asabiya.jpg,images/2023_10_08_S02E04_asabiya.jpg,2023-10-08,S02E04 - Политическая борьба. Асабия
transcript,2023_10_14_the-crisis-of-identity.md,2023_10_14_S02E05_the-crisis-of-identity.md,2023-10-14,S02E05 - NPC. Кризис идентичности
image,images/2023_10_14_the-crisis-of-identity.jpg,images/2023_10_14_S02E05_the-crisis-of-identity.jpg,2023-10-14,S02E05 - NPC. Кризис идентичности
transcript,2023_10_23_mimetic.md,2023_10_23_S02E06_mimetic.md,2023-10-23,S02E06 - Миметический кризис
image,images/2023_10_23_mimetic.jpg,images/2023_10_23_S02E06_mimetic.jpg,2023-10-23,S02E06 - Миметический кризис
transcript,2023_10_28_technology-instead-of-faith.md,2023_10_28_S02E07_technology-instead-of-faith.md,2023-10-28,S02E07 - Технология вместо веры
image,images/2023_10_28_technology-instead-of-faith.jpg,images/2023_10_28_S02E07_technology-instead-of-faith.jpg,2023-10-28,S02E07 - Технология вместо веры
transcript,2023_11_05_a-leap-of-faith.md,2023_11_05_S02E08_a-leap-of-faith.md,2023-11-05,S02E08 - Прыжок веры
image,images/2023_11_05_a-leap-of-faith.jpg,images/2023_11_05_S02E08_a-leap-of-faith.jpg,2023-11-05,S02E08 - Прыжок веры
transcript,2023_11_13_identity-conclusion.md,2023_11_13_S02E09_identity-conclusion.md,2023-11-13,S02E09 - Идентичность. Развязка
image,images/2023_11_13_identity-conclusion.jpg,images/2023_11_13_S02E09_identity-conclusion.jpg,2023-11-13,S02E09 - Идентичность. Развязка
transcript,2023_11_26_identity-qa.md,2023_11_26_S02E10_identity-qa.md,2023-11-26,S02E10 - Идентичность. Ответы на вопросы
image,images/2023_11_26_identity-qa.jpg,images/2023_11_26_S02E10_identity-qa.jpg,2023-11-26,S02E10 - Идентичность. Ответы на вопросы
transcript,2023_12_02_monarchs-and-agenda.md,2023_12_02_S02E11_monarchs-and-agenda.md,2023-12-02,S02E11 - Монархизм. Номинализм. Повесточка
image,images/2023_12_02_monarchs-and-agenda.jpg,images/2023_12_02_S02E11_monarchs-and-agenda.jpg,2023-12-02,S02E11 - Монархизм. Номинализм. Повесточка
transcript,2023_12_11_the-joy-of-understanding.md,2023_12_11_S02E12_the-joy-of-understanding.md,2023-12-11,S02E12 - Радость понимания. Финал сезона
image,images/2023_12_11_the-joy-of-understanding.jpg,images/2023_12_11_S02E12_the-joy-of-understanding.jpg,2023-12-11,S02E12 - Радость понимания. Финал сезона
transcript,2024_05_04_republic.md,2024_05_04_S03E01_republic.md,2024-05-04,S03E01 - Археология понятий. Республика
